category,text
business,khodorkovski quit yuko shar jail tycoon mikhai khodorkovski transfer control stak oil giant yuko busi partner mr khodorkovski hand entir stak hold compani group menatep contro yuko leonid nevzlin clo alli ex yuko boss mr nevzlin currentli ba isra mr khodorkovski hand stak forc sal yuko cor oil production unit yuganskneftegaz pay giant tax bill yuganskneftegaz sold auction december last year eventua fall hand stat oil firm rosneft deal worth bn bn sinc sal yuganskneftegaz deliver responsib busi remain group money whol mr khodorkovski said see futur public activ build civi societi russia mr nevzlin yuko large sharehold liv self impos exi isra yuganskneftegaz pump around million barre oil day sold russian authoriti recover government tax claim yuko total bn previousli consider russia rich man estimat fortun bn mr khodorkovski currentli trial fraud tax evasion follow arrest october however charg wideli see politic motivat part driv russian president vladimir putin rein countri super rich busi leader call oligarch also believ mr khodorkovski particularli target start bankrol politic opponent mr putin
entertainment,housewiv lift channe rate debut us televi hit desperat housewiv help lift channe januari audienc shar compar last year success celebriti big brother simpson enab broadcaster surpass bbc first month sinc last juli however channe shar audienc fell last month comparison januari celebriti big brother attract less viewer seri comedi drama desperat housewiv manag pull fiv million viewer one point run dat attract quarter televi audienc two main televi channe bbc itv see monthli audienc shar declin year year comparison januari fiv proportion remain slender digita multo channe tv continu strong area growth bbc report freeview box ownership fiv million includ one million sal last portion shar audienc soar januari compar last year currentli stand averag
sport,beatti return calm attack fear everton striker jam beatti declar fit train tuesday despit suffer alleg assault last saturday beatti believ seriousli hurt report suggest victim unprovok assault birmingham night girlfriend two friend follow everton win aston villa shake badli injur said everton spokesman ian ross ad speak polic press charg speak manager david moye happen beatti suspend win aston villa red card chelsea availab merseysid derbi liverpoo march
politics,chancellor ralli labour voter gordon brown issu ralli cry supporter warn stak high stay hom protest vot next genera election chancellor said poll expect fall may would giv clear fundament choic labour investment tori cut told parto spring conferenc tori must allow win conserv lib dem insist voter fac high taxe mean test labour pack audienc gateshead sag centr mr brown accus shadow chancellor oliver letwin plot cut equiva sack everi teacher gp nur countri lay conserv record government said giv promi labour britain never return mistak erm inflat interest rat bn lost reserv repossess one million neg equiti three million unemploy never tori boom bust centra divid lin election conserv parto tak britain back plan deep cut bn servic labour government tak britain forward platform stabl reform renew hospita school public servic proud say spend bn turn economi chancellor promi continu econom stabl growth third term power also pledg continu fight child pensioner poverto promi help get young peopl properto ladder messag thousand young coupl wait obtain first hom hous rightli centr com manifesto said next labour government match low mortgag rat new first tim buyer initi speech prompt stand ovat also promi end teenag unemploy within next fiv year also highlight plan debt relief world poor countri nat minimum wag year old creation network child centr flexib materniti leav respond speech shadow chief secretari treasuri georg osborn said talk gordon brown ve heard instead talk futur kept talk past complet fail say taxe would put fill black hol spend plan simpl choic election valu money lower taxe conserv wast high taxe toni blair gordon brown libera democrat shadow chancellor vinc cabl warn pictur rosi mr brown would lik portray trumpet labour manag economi gordon brown record mix said gordon brown creat system massiv centrali bureaucracus system subject million peopl mean test system taxat extrem complex positiv word gordon brown fac econom problem loom horizon least unprece leve persona debt fac nation also gateshead prim minister take question sent e mail text messag telephon part labour attempt engag public campaign mr blair told audienc believ iraq war would mad britain safe plac emerg democracus succeed want bring troop hom soon possib job don also said want carri pm still think big chang countri need
politics,bid cut court witness stress new target reduc stress victim witness giv evidenc court england wal announc lord chancellor lord falconer want crown court magistrat court faciliti keep witness separat defendant within four year video link also mad availab witness enter courtroom part fiv year plan help build confidenc justic system minister say strategus aim re balanc court system toward victim increa number offender brought justic launch department constitu affair plan lord falconer said one top prioriti better deal victim need safeti victim heart way trial manag court judg magistrat prosecutor polic victim support work together ensur right victim put first without compromi right defendant go giv evidenc nerv wrack experienc especia re victim yet support don lord falconer told bbc radio today programm impossib elderli peopl go court giv evidenc witness could intimid sit alongsid defendant outsid court never go get rid element trauma giv evidenc said mak peopl believ court understand problem kind alien plac go think plan com lord chancellor also consider allow camera court first tim sinc long us ca involv witness another featur strategus constitu reform government bill set suprem court judicia appointment commission return hous lord tuesday minister propos get rid titl lord chancellor lord rul lord falconer said right high court complet distinct parliament person charg court system also speaker hous lord said best person choose either hous parliament call critic issue ad
sport,greek pair set hear kosta kenteri katerina thanou fight provision two year ban impos iaaf independ tribuna weekend athletic rul bodi take action pair fail tak drug test athen olympic independ tribuna greek track field federat meet decid whether ratifi sanction sprint duo fac charg fail giv informat locat refus submit drug test kenteri lawyer gregori ioannidi told bbc sport refut charg unsubstanti illogic certain breach correct applic rul behalf sport authoriti officia procedur breach also violat client right also evidenc prov fact client persecut ioannidi law lecturer univer buckingham ad one important right foundat law justic accus presum innocent unless prov otherwis tarnish pane also decid two year ban impos athlet controversi coach christo tzeko iaaf kenteri olympic m champion thanou woman m silver medallist gam sydney quit olympic august fail giv sampl eve open ceremoni tester could find olympic villag duo later admit hospita claim involv motorcyc accident also miss test tel aviv chicago athen gam impos two year suspension duo december iaaf describ explanat miss test unaccept whatever finding independ tribuna parto right appea court arbitrat sport tribuna hear tak plac hellenic olympic committe build start gmt saturday expect finish earli next week tribuna pane consist fiv member president konstantino panagopoulo panagioti dimako haralabo hrisanthaki stiliano peraki ioanni karmi kenteri thanou also fac crimina charg greec allegedli fak motorcyc accident eight crimina charg laid sprinter well tzeko eyewit accident hospita officia speculat charg could drop
politics,brown alli reject budget spree chancellor gordon brown close alli deni suggestion budget giveaway march  ball ex chief econom adviser treasuri said would spend spree poll day mr ball prospectiv labour mp said confident chancellor would meet fisca rul speak sir digbi jon cbi director genera warn mr brown tempt use extra cash pre election brib mr ball step treasuri post stand labour candidat election suggest mr brown would meet golden econom rul margin spar said hop would don build current tax credit rul also stress ris interest rat ahead expect may election would affect labour parto chanc win expectat rat ris gather pac figur show hous pric still ris consumer borrow ro near record pac januari mpc bank england monetari policus committe judg rat ris justifi election strength economi m predict believ big election issue britain labour told parliamentari lunch big chang politic cultur interview bbc radio today programm mr ball said sur mr brown budget would put risk stabl economi think ll see pre election spend spree certainli see said assuranc cam sir digbi jon said stabl important extra cash spent improv worker skill messag chancellor plea giv away form election sir digbi ad think say prudent chancellor right way stabl key word british busi need bor stabl anyth would say increa public spend giv away go anywher add someth competit britain put skill peopl would good way spend excess mr ball refus say whether mr brown would remain chancellor election amid speculat offer job foreign secretari think gordon brown want part success labour government deliver third term prioriti peopl see conserv parto tak britain backward mr ball told today prim minister toni blair yet nam dat election pundit bet may
business,disney settl disclosur charg walt disney settl charg us federa regulat fail disclo famili member director employ compani media giant fin securiti exchang commission agree refrain futur violat securiti law disney fail tell investor employ three adult child three director firm neither admit deni wrongdo settlement three disney director question centra matter sec investig reveta bower stanley gold raymond watson sinc left compani m bower mr watson retir mr gold quit child paid year sharehold inform sec also found disney disclo disney own subsidiari compani lifetim employ wif current disney director john bryson earn m year louis bryson remain lifetim disney also fail disclo payment air shamrock airlin own mr gold fellow former disney director roy disney finalli disney also revea provid annualli offic spac secretari servic lea car driver former director thoma murphi sharehold signific interest informat regard relationship compani director said sec deputi enforc director linda thomsen failur compli sec disclosur rul area imp sharehold able evaluat objectiv independ director
tech,microsoft seek spywar trojan microsoft investig trojan program attempt switch firm anti spywar softwar spywar tool relea microsoft last week download six million peopl stephen toulous securiti manager microsoft said maliciou program call bankash trojan sent e mail attachment microsoft said believ program widespread recommend user use anti viru program program attempt disab delet microsoft anti spywar tool suppress warn messag give user may also try steal onlin bank password persona informat track user keystrok microsoft said statement investig call crimina attack softwar early week microsoft said would buy anti viru softwar maker sybari softwar improv securiti window e mail softwar microsoft said plan offer paid anti viru softwar yet set dat relea anti spywar program target currentli beta form aim help user find remov spywar program monitor internet use cau advert pop up slow pc performanc
entertainment,csi show giv unrealist view peopl unrealist expectat forensic scienc thank success csi tv show real expert say evidenc submit forensic lab shot result programm tim mani larg backlog scienc investig claim lawyer also fear effect juror distort view forensic evidenc us issue discuss major scienc conferenc washington dc crim scen investig csi spin off csi miami csi new york prove exception popular audienc sid atlantic episod team forensic investig goe solv crim ingeniou applianc scienc extensiv resourc disposa csi effect basic perception near infallib forensic scienc respon tv show said max houck run forensic scienc graduat cour west virginia univer us tv show com everyon start watch includ cop prosecutor submission forensic laboratori go roof told annuum meet american associat advanc scienc aaa american forensic expert said roughli backlog dna sampl us lab yet constitut tota test backlog said dr houck forensic pathologist dr patricia mcfeeley said start see show influenc deal famili victim find famili dissatisfi investig previousli ca explain examp televi toxicologus result availab almost instantan peopl find tak severa month find difficult dr mcfeeley ad accuracus forensic investig determin tim death far lower peopl perception show influenc follow forensic investig way courtroom mak lawyer jitteri prosecutor fear csi effect juri examp wonder wasn everyth test well fact everyth need test dr houck explain defenc attorney also worri csi effect think juror com view scienc juggernaut objectiv method alway accurat however admit show positiv well neg effect field univer cour start four graduat re large major campu student said dr houck ad urgent need better fund forensic scienc univer leve money spent countri holistic medicin forensic scienc research
